EVIDENCE_ID,CLAIM,SOURCE,BUILD,SOURCE_TYPE,STATUS,CONFIDENCE,REPRODUCIBILITY,DEPENDENCIES,NOTES
E-A1-001,Target executable identity is 101.103.48987.0,docs/MACHINE_EVIDENCE/AEGIS_A1_STOCK_SNAPSHOT_2026-09-05.json,101.103.48987.0,A1 machine evidence,OBSERVED,HIGH,HIGH,Steam installation,BuildID 24094652; executable SHA recorded
E-A1-002,Normal HD AI recursive closure is four files,docs/MACHINE_EVIDENCE/AEGIS_A1_LOAD_CLOSURE_2026-09-05.json,101.103.48987.0,A1 machine evidence,OBSERVED,HIGH,HIGH,Restored stock AI tree,Entrypoint AI (HD version).per
E-A1-003,Stock declaration inventory exists for the captured closure,docs/MACHINE_EVIDENCE/AEGIS_A1_HD_CLOSURE_DECLARATION_INVENTORY_MANIFEST_2026-09-05.md,101.103.48987.0,A1 machine evidence,OBSERVED,HIGH,HIGH,Closure inventory,Numeric declarations are not automatically semantic ABI allocation
E-A1-004,Stock state collision map is evidence-only,docs/MACHINE_EVIDENCE/AEGIS_A1_STATE_CHANNEL_COLLISION_MAP_2026-09-05.md,101.103.48987.0,A1 machine evidence,OBSERVED,HIGH,HIGH,Typed state census,Numeric equality does not establish ownership
E-PUB-001,AoE2 AI scripting vocabulary is extensively documented,https://airef.github.io/,DE,current public documentation,CORRELATED,HIGH,HIGH,Official/community-maintained reference,Use for syntax/vocabulary; not ABI clearance
E-PUB-002,Load-if symbols are system-defined parser inputs,https://airef.github.io/tables/load-if.html,DE,current public documentation,CORRELATED,HIGH,HIGH,AI scripting reference,Public semantics supplement local reconstruction
E-PUB-003,Worlds Edge documents fixes to UP fact/path/object APIs,https://www.ageofempires.com/news/aoe2de-update-39284/,DE target-era,official patch notes,CORRELATED,HIGH,HIGH,Official update notes,Useful for historical semantic changes
E-PUB-004,Official update notes document AI debugging/jump-loop diagnostics,https://www.ageofempires.com/news/age-of-empires-ii-definitive-edition-update-61321/,DE target-era,official patch notes,CORRELATED,HIGH,HIGH,Official update notes,Supports control-flow debugging model
E-ARCH-001,Historical Promisory topology corroborates dedicated subsystems,cyanide-aoe2/wololo-downgrader historical package diffs,historical,A4 historical source archaeology,CORRELATED,MEDIUM,HIGH,Historical package manifests,Topology evidence only; not current runtime authority
E-ARCH-002,HD AI is a historical strategic source,Historical HD AI source attribution,historical,A4 historical source archaeology,CORRELATED,MEDIUM,HIGH,Historical source,Use to reconstruct intent and mechanisms
